Id,SalePrice
1461,126705.805
1462,162507.14
1463,188622.53
1464,190867.95
1465,177651.42
1466,174569.39
1467,174078.17
1468,170292.14
1469,178154.94
1470,122383.84
1471,201333.81
1472,95924.15
1473,97223.62
1474,150992.58
1475,131491.66
1476,377717.34
1477,255829.97
1478,311144.78
1479,247326.92
1480,408508.8
1481,356461.38
1482,205992.2
1483,175572.16
1484,168750.52
1485,174449.05
1486,195542.38
1487,355939.03
1488,224307.48
1489,213979.73
1490,203371.61
1491,185121.11
1492,86282.016
1493,185123.05
1494,285036.5
1495,289361.7
1496,253861.05
1497,191374.89
1498,158522.8
1499,155978.25
1500,152129.69
1501,176099.48
1502,164492.52
1503,304421.84
1504,242267.73
1505,222069.69
1506,181245.44
1507,228595.16
1508,209219.27
1509,169669.77
1510,148737.64
1511,146860.61
1512,174022.48
1513,143682.14
1514,165362.61
1515,181477.25
1516,170221.89
1517,163732.55
1518,123773.836
1519,221365.23
1520,138118.31
1521,144789.6
1522,172571.25
1523,115236.69
1524,125429.68
1525,128554.14
1526,117706.7
1527,100033.484
1528,128877.27
1529,147234.25
1530,173507.47
1531,125733.36
1532,97432.17
1533,144123.98
1534,120919.19
1535,155893.17
1536,111370.52
1537,80035.5
1538,179720.55
1539,209939.23
1540,105577.516
1541,146590.95
1542,150750.95
1543,218922.8
1544,77883.39
1545,99184.64
1546,126340.234
1547,145802.38
1548,139932.86
1549,116494.34
1550,145816.62
1551,110408.04
1552,148958.72
1553,129583.516
1554,119609.336
1555,173379.55
1556,92001.8
1557,117744.56
1558,84711.266
1559,88745.945
1560,140138.1
1561,145416.12
1562,121538.27
1563,115524.07
1564,153597.14
1565,147017.95
1566,239616.38
1567,80161.35
1568,231631.72
1569,154626.22
1570,128327.23
1571,136125.1
1572,147065.9
1573,247562.4
1574,104770.17
1575,206977.83
1576,220473.22
1577,210907.84
1578,154136.23
1579,141947.27
1580,185818.69
1581,154259.66
1582,129158.39
1583,324373.12
1584,235079.6
1585,138509.06
1586,68595.07
1587,93494.01
1588,154480.38
1589,94224.34
1590,135517.45
1591,97322.98
1592,122576.58
1593,113536.9
1594,142439.5
1595,114202.87
1596,258203.75
1597,186387.98
1598,196723.28
1599,181466.64
1600,178937.17
1601,69679.46
1602,116645.836
1603,97765.62
1604,273736.75
1605,263160.06
1606,175681.7
1607,157207.62
1608,222131.56
1609,203600.7
1610,163899.47
1611,144231.64
1612,152935.83
1613,158466.66
1614,117098.555
1615,87218.98
1616,75090.36
1617,86870.45
1618,129514.23
1619,141047.42
1620,154572.95
1621,138928.98
1622,155807.86
1623,285868.9
1624,225126.67
1625,125917.05
1626,173400.4
1627,191308.86
1628,282577.38
1629,176455.7
1630,323360.06
1631,230346.27
1632,259354.89
1633,170654.58
1634,191395.78
1635,181919.2
1636,160482.56
1637,171883.44
1638,202350.69
1639,179976.38
1640,259020.28
1641,181758.34
1642,233060.11
1643,226443.88
1644,240226.62
1645,179593.34
1646,155042.88
1647,158139.42
1648,132845.22
1649,143761.72
1650,108306.7
1651,120306.13
1652,92814.1
1653,99983.77
1654,153350.3
1655,153840.67
1656,146293.31
1657,154093.7
1658,149376.61
1659,135100.12
